Company,Current,Previous
ADVO,0.38,0.26
Alaska Air,-1.15,-1.66
Amgen,0.66,0.53
AT&T,0.46,0.21
Becton Dickinson,0.85,0.75
Brunswick,0.9,0.59
Conexant,-0.05,-0.26
Dow Jones,0.49,0.43
First Data,0.52,0.56
Franklin Resources,1.21,0.92
Gentex,0.19,0.18
Honeywell,0.62,0.3
Kirby,0.76,0.53
LSI Logic,0.09,-0.51
Lockheed Martin,1.29,0.83
MarineMax,0.04,0.17
Merchants Bncshrs,0.46,0.51
NCR,0.81,0.68
Newell Rubbermaid,0.28,0.45
Novellus Systems,0.17,0.27
Pantry Inc.,1.45,0.59
Qualcomm,0.36,0.3
Suncor Energy,1.48,0.72
United Parcel,0.95,0.76
Washington Trust,0.45,0.4
