Income,Lot_Size,Response
34,26,Not Bought
34,40,Not Bought
34,46,Not Bought
34,48,Not Bought
34,53,Not Bought
34,58,Not Bought
34,59,Not Bought
34,63,Not Bought
34,64,Not Bought
34,66,Bought
35,41,Not Bought
35,44,Not Bought
35,66,Not Bought
36,39,Not Bought
36,61,Not Bought
37,27,Not Bought
37,39,Not Bought
37,42,Not Bought
37,46,Not Bought
37,49,Not Bought
37,51,Not Bought
37,61,Not Bought
37,76,Not Bought
38,29,Not Bought
38,41,Not Bought
38,65,Not Bought
38,73,Not Bought
38,79,Not Bought
39,52,Bought
39,53,Not Bought
40,61,Not Bought
40,66,Bought
41,54,Not Bought
42,26,Not Bought
42,31,Not Bought
42,37,Not Bought
42,39,Not Bought
42,43,Not Bought
42,55,Not Bought
42,66,Not Bought
42,78,Not Bought
43,77,Not Bought
44,31,Not Bought
44,41,Not Bought
44,48,Not Bought
44,62,Not Bought
45,34,Not Bought
45,45,Not Bought
45,58,Not Bought
46,21,Not Bought
46,63,Not Bought
47,36,Not Bought
47,45,Not Bought
47,50,Not Bought
47,51,Not Bought
47,79,Not Bought
48,22,Not Bought
48,24,Not Bought
48,26,Not Bought
48,30,Not Bought
48,66,Not Bought
48,73,Not Bought
48,73,Not Bought
49,30,Not Bought
49,36,Not Bought
49,37,Not Bought
49,40,Not Bought
50,22,Not Bought
50,26,Not Bought
50,30,Not Bought
50,60,Not Bought
51,24,Not Bought
51,29,Not Bought
52,30,Not Bought
52,51,Not Bought
52,79,Not Bought
53,69,Not Bought
53,72,Not Bought
54,35,Not Bought
54,36,Bought
54,55,Not Bought
55,20,Not Bought
55,36,Not Bought
55,39,Not Bought
55,59,Not Bought
55,68,Not Bought
55,77,Not Bought
56,28,Not Bought
56,32,Not Bought
56,38,Not Bought
56,44,Not Bought
56,69,Not Bought
56,79,Not Bought
57,35,Not Bought
57,39,Not Bought
57,61,Not Bought
57,76,Not Bought
57,78,Not Bought
59,46,Not Bought
59,58,Not Bought
59,66,Not Bought
59,69,Not Bought
59,71,Not Bought
60,22,Not Bought
60,35,Not Bought
60,72,Not Bought
61,35,Bought
65,75,Bought
65,97,Bought
66,70,Bought
66,97,Bought
66,104,Bought
66,107,Bought
66,124,Bought
67,74,Bought
67,97,Bought
67,115,Bought
68,91,Bought
69,80,Bought
69,88,Bought
69,115,Bought
69,121,Bought
69,122,Bought
70,78,Bought
70,79,Not Bought
70,83,Bought
70,84,Bought
71,78,Bought
71,116,Not Bought
72,88,Bought
72,116,Bought
72,116,Bought
72,118,Bought
73,72,Bought
73,78,Bought
73,102,Not Bought
73,105,Bought
73,111,Bought
73,124,Bought
74,77,Bought
74,98,Not Bought
74,106,Bought
75,98,Bought
75,114,Bought
76,111,Bought
76,114,Bought
77,96,Bought
77,121,Bought
78,78,Bought
78,81,Bought
78,101,Bought
78,111,Bought
79,84,Bought
79,104,Bought
79,104,Bought
79,108,Bought
80,75,Bought
80,84,Not Bought
80,100,Bought
82,83,Bought
82,102,Bought
82,103,Bought
82,104,Bought
83,73,Bought
83,78,Bought
83,88,Bought
83,124,Bought
84,86,Bought
84,93,Bought
84,107,Bought
85,70,Bought
85,75,Bought
85,117,Bought
85,120,Bought
86,108,Bought
86,121,Bought
87,109,Bought
88,119,Bought
89,110,Bought
89,124,Bought
