"Year","GDP per capita, PPP (constant 2011 international $)"
"1990",1754.857
"1991",1737.615
"1992",1796.532
"1993",1845.149
"1994",1930.113
"1995",2036.796
"1996",2149.366
"1997",2194.903
"1998",2288.048
"1999",2445.751
"2000",2495.047
"2001",2570.428
"2002",2623.33
"2003",2783.004
"2004",2955.205
"2005",3178.829
"2006",3419.931
"2007",3698.777
"2008",3786.633
"2009",4049.805
"2010",4404.697
"2011",4635.879
"2012",4827.56
"2013",5073.605
"2014",5385.142
"2015",5756.665
"2016",6095.723
"2017",6426.674

