Clust,,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
0,child_mort,1,0.2612145,-0.536099841,-0.190180579,0.707530508,0.782750865,-0.701403627,0.278699947,0.009245321
0,exports,0.2612145,1,-0.421137581,0.820441585,0.385423088,0.300991124,-0.436361424,0.139561419,0.141732524
0,health,-0.536099841,-0.421137581,1,-0.039892136,-0.562775355,-0.670029468,0.418655796,-0.183556499,0.101979695
0,imports,-0.190180579,0.820441585,-0.039892136,1,-0.137425219,-0.135469809,-0.208827597,-0.058447157,-0.061450003
0,income,0.707530508,0.385423088,-0.562775355,-0.137425219,1,0.616396846,-0.417508278,0.237730918,0.540271368
0,inflation,0.782750865,0.300991124,-0.670029468,-0.135469809,0.616396846,1,-0.679147636,0.264632172,0.036381891
0,life_expec,-0.701403627,-0.436361424,0.418655796,-0.208827597,-0.417508278,-0.679147636,1,-0.061608995,0.206730873
0,total_fer,0.278699947,0.139561419,-0.183556499,-0.058447157,0.237730918,0.264632172,-0.061608995,1,0.178073402
0,gdpp,0.009245321,0.141732524,0.101979695,-0.061450003,0.540271368,0.036381891,0.206730873,0.178073402,1
1,child_mort,1,-0.071751068,-0.013116875,0.123967311,-0.210857124,-0.139822715,-0.637270974,0.337570249,-0.209737491
1,exports,-0.071751068,1,-0.34275054,0.271603402,0.639970421,0.392238273,0.048660787,-0.097676433,0.617422209
1,health,-0.013116875,-0.34275054,1,0.334362267,-0.139245195,-0.11987921,-0.186088118,-0.08075072,-0.101270928
1,imports,0.123967311,0.271603402,0.334362267,1,0.014271288,-0.179373657,-0.258980825,-0.212552695,0.02178998
1,income,-0.210857124,0.639970421,-0.139245195,0.014271288,1,0.372243972,0.127273163,-0.293325694,0.976411646
1,inflation,-0.139822715,0.392238273,-0.11987921,-0.179373657,0.372243972,1,0.315713069,0.152887184,0.380897441
1,life_expec,-0.637270974,0.048660787,-0.186088118,-0.258980825,0.127273163,0.315713069,1,0.128707215,0.11598057
1,total_fer,0.337570249,-0.097676433,-0.08075072,-0.212552695,-0.293325694,0.152887184,0.128707215,1,-0.269817173
1,gdpp,-0.209737491,0.617422209,-0.101270928,0.02178998,0.976411646,0.380897441,0.11598057,-0.269817173,1
2,child_mort,1,-0.305789058,-0.346864093,-0.228306045,-0.562874769,0.18667213,-0.623813214,0.548086076,-0.583776878
2,exports,-0.305789058,1,-0.073389108,0.641404943,0.425385923,-0.247019846,0.113015561,-0.152647168,0.352439572
2,health,-0.346864093,-0.073389108,1,0.244063478,-0.062697151,-0.232486423,0.20699257,-0.226111328,0.111822657
2,imports,-0.228306045,0.641404943,0.244063478,1,-0.044988597,-0.443760662,-0.089154467,0.023100679,0.002538506
2,income,-0.562874769,0.425385923,-0.062697151,-0.044988597,1,0.056619612,0.494376804,-0.336802156,0.882809369
2,inflation,0.18667213,-0.247019846,-0.232486423,-0.443760662,0.056619612,1,-0.158400809,0.144891878,-0.174996163
2,life_expec,-0.623813214,0.113015561,0.20699257,-0.089154467,0.494376804,-0.158400809,1,-0.472406857,0.495122325
2,total_fer,0.548086076,-0.152647168,-0.226111328,0.023100679,-0.336802156,0.144891878,-0.472406857,1,-0.372657138
2,gdpp,-0.583776878,0.352439572,0.111822657,0.002538506,0.882809369,-0.174996163,0.495122325,-0.372657138,1
3,child_mort,1,-0.847024363,0.645006076,-0.142857143,-0.953338311,0.541137166,-0.814152342,-0.071981575,-0.734244063
3,exports,-0.847024363,1,-0.952537489,0.647105569,0.647022442,-0.905358435,0.998254445,-0.46920505,0.261058207
3,health,0.645006076,-0.952537489,1,-0.848483242,-0.384200727,0.991659814,-0.968853853,0.715766583,0.045197178
3,imports,-0.142857143,0.647105569,-0.848483242,1,-0.162616343,-0.909614456,0.691003249,-0.976892805,-0.567030476
3,income,-0.953338311,0.647022442,-0.384200727,-0.162616343,1,-0.262005296,0.600861624,0.369743707,0.904941316
3,inflation,0.541137166,-0.905358435,0.991659814,-0.909614456,-0.262005296,1,-0.928857733,0.799801021,0.173571463
3,life_expec,-0.814152342,0.998254445,-0.968853853,0.691003249,0.600861624,-0.928857733,1,-0.520541127,0.2035907
3,total_fer,-0.071981575,-0.46920505,0.715766583,-0.976892805,0.369743707,0.799801021,-0.520541127,1,0.729976588
3,gdpp,-0.734244063,0.261058207,0.045197178,-0.567030476,0.904941316,0.173571463,0.2035907,0.729976588,1
4,child_mort,1,-0.557092173,-0.152515227,-0.440574288,-0.725721104,0.986266154,-0.832818305,0.999635744,-0.581477008
4,exports,-0.557092173,1,0.905700364,0.990949468,-0.167047386,-0.686601523,0.004263542,-0.579301866,-0.351687511
4,health,-0.152515227,0.905700364,1,0.954408171,-0.569256792,-0.313652151,-0.420053103,-0.179132435,-0.715360966
4,imports,-0.440574288,0.990949468,0.954408171,1,-0.297884792,-0.582793698,-0.130009259,-0.464641817,-0.474164684
4,income,-0.725721104,-0.167047386,-0.569256792,-0.297884792,1,-0.6021233,0.985227694,-0.706888966,0.981712427
4,inflation,0.986266154,-0.686601523,-0.313652151,-0.582793698,-0.6021233,1,-0.729954685,0.990364423,-0.439119982
4,life_expec,-0.832818305,0.004263542,-0.420053103,-0.130009259,0.985227694,-0.729954685,1,-0.817575558,0.934609515
4,total_fer,0.999635744,-0.579301866,-0.179132435,-0.464641817,-0.706888966,0.990364423,-0.817575558,1,-0.559308362
4,gdpp,-0.581477008,-0.351687511,-0.715360966,-0.474164684,0.981712427,-0.439119982,0.934609515,-0.559308362,1
